incident_id,created_at,resolved_at,status,severity,category,service,assigned_team,region,business_unit,root_cause,alerts_count,backlog_at_creation,repeat_incident,affected_users,assignment_delay_hours,num_comments,sla_hours,current_age_hours,resolution_hours,breached_sla,created_hour,is_weekend,month,summary
INC000001,2025-02-09 02:12:21,2025-02-11 12:17:56.468097246,Closed,P4,Cloud,Kubernetes,Platform Engineering,North America,Support,Node pressure,3,19,0,12,6.17,3,72,58.09,58.09,0,2,1,2025-02,Cloud issue affecting Kubernetes in North America; priority P4; root cause: Node pressure; team Platform Engineering
INC000002,2025-01-30 17:58:30,2025-01-31 02:47:22.246994056,Closed,P2,Application,Middleware,ERP Support,Europe,Engineering,Cache inconsistency,1,32,0,29,0.37,6,8,8.81,8.81,1,17,0,2025-01,Application issue affecting Middleware in Europe; priority P2; root cause: Cache inconsistency; team ERP Support
INC000003,2025-07-10 14:59:51,2025-07-13 05:08:54.989533343,Closed,P4,Database,MongoDB,SRE,North America,HR,Connection pool exhaustion,0,24,0,11,2.36,3,72,62.15,62.15,0,14,0,2025-07,Database issue affecting MongoDB in North America; priority P4; root cause: Connection pool exhaustion; team SRE
INC000004,2025-09-09 16:12:06,2025-09-10 11:14:44.008592512,Closed,P3,Security,Endpoint,SecOps,North America,Operations,Policy misconfiguration,1,22,0,10,0.97,6,24,19.04,19.04,0,16,0,2025-09,Security issue affecting Endpoint in North America; priority P3; root cause: Policy misconfiguration; team SecOps
INC000005,2025-11-02 04:27:16,2025-11-02 12:46:36.714382200,Closed,P2,Network,LAN,Infra Operations,APAC,Operations,Firewall rule error,5,14,0,45,0.23,9,8,8.32,8.32,1,4,1,2025-11,Network issue affecting LAN in APAC; priority P2; root cause: Firewall rule error; team Infra Operations
INC000006,2025-08-04 19:55:05,2025-08-05 15:01:26.129290402,Closed,P3,Database,MySQL,DBA,APAC,Operations,Lock contention,0,25,1,36,2.55,3,24,19.11,19.11,0,19,0,2025-08,Database issue affecting MySQL in APAC; priority P3; root cause: Lock contention; team DBA
INC000007,2025-03-08 08:33:00,2025-03-08 15:59:48.754903058,Closed,P2,Database,MongoDB,Platform Engineering,Europe,Engineering,Slow queries,5,19,0,34,0.92,9,8,7.45,7.45,0,8,1,2025-03,Database issue affecting MongoDB in Europe; priority P2; root cause: Slow queries; team Platform Engineering
INC000008,2025-05-16 18:15:05,,Open,P4,Application,Middleware,ERP Support,North America,HR,Release defect,1,17,0,6,2.94,8,72,7253.75,,1,18,0,2025-05,Application issue affecting Middleware in North America; priority P4; root cause: Release defect; team ERP Support
INC000009,2026-02-20 02:33:11,2026-02-20 10:09:00.870402275,Closed,P2,Network,SD-WAN,NetOps,North America,Engineering,Link instability,7,31,0,38,0.78,8,8,7.6,7.6,0,2,0,2026-02,Network issue affecting SD-WAN in North America; priority P2; root cause: Link instability; team NetOps
INC000010,2025-08-17 04:59:27,2025-08-18 09:52:40.868221326,Closed,P3,Access,VPN Access,Service Desk,APAC,Finance,Permission mismatch,0,24,0,67,3.49,4,24,28.89,28.89,1,4,1,2025-08,Access issue affecting VPN Access in APAC; priority P3; root cause: Permission mismatch; team Service Desk
INC000011,2025-12-02 03:13:37,2025-12-03 09:52:14.445497270,Closed,P3,Application,Billing,ERP Support,North America,Operations,Cache inconsistency,3,49,0,10,3.45,2,24,30.64,30.64,1,3,0,2025-12,Application issue affecting Billing in North America; priority P3; root cause: Cache inconsistency; team ERP Support
